問,ページ,分野,テーマ,正答,確度,出典分類,参照URL,備考
1,2,基礎理論,2進数シフト演算,ウ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
2,2,基礎理論,標準偏差,エ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
3,2,基礎理論,正規表現,エ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
4,3,システム性能,M/M/1待ち行列,イ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
5,3,アルゴリズム,完全二分木,エ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
6,3,データ構造,スタック,ア,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
7,4,ソフトウェア,API,エ,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
8,4,ハードウェア,平均CPIとMIPS,イ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
9,4,ハードウェア,キャッシュメモリ,エ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
10,5,ハードウェア,画面メモリ量,ウ,高,基本情報技術者試験 科目A サンプル問題,https://www.fe-siken.com/,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
11,5,システム構成,フォールトトレラント,ア,確定,修了試験問題情報,https://www.ipa.go.jp/shiken/about/menjo-fe.html#kakomondai,問題テーマと頻出範囲に基づく学習用の出典分類です。実際の問題画像はIPA提供の2024年6月実施分修了試験問題を使用しています。
