問,ページ,分野,テーマ,今回の要点,復習観点,関連キーワード
1,2,基礎理論,2進数シフト演算,2ビット左シフトは4倍。さらに元の値を加えると5倍。,2進数シフト演算を軸に、定義から条件へ進む。,2進数シフト演算 / 定義を確認 / 条件に当てはめる / 正答 ウ
2,2,基礎理論,標準偏差,全データを2倍すると標準偏差も2倍。定数加算では標準偏差は変わらない。,標準偏差を軸に、定義から条件へ進む。,標準偏差 / 定義を確認 / 条件に当てはめる / 正答 エ
3,2,基礎理論,正規表現,[A-Z]+[0-9]* は英大文字1文字以上の後に数字0文字以上が続く文字列。,正規表現を軸に、定義から条件へ進む。,正規表現 / 定義を確認 / 条件に当てはめる / 正答 エ
4,3,システム性能,M/M/1待ち行列,到着とサービスが確率的に発生し、1台の窓口で処理する待ち行列モデル。,M/M/1待ち行列を軸に、定義から条件へ進む。,M/M/1待ち行列 / 定義を確認 / 条件に当てはめる / 正答 イ
5,3,アルゴリズム,完全二分木,葉がn個の完全二分木では、葉以外の節点数はn-1。,完全二分木を軸に、定義から条件へ進む。,完全二分木 / 定義を確認 / 条件に当てはめる / 正答 エ
6,3,データ構造,スタック,後入れ先出し。最後に入れたデータを最初に取り出す。,スタックを軸に、定義から条件へ進む。,スタック / 定義を確認 / 条件に当てはめる / 正答 ア
7,4,ソフトウェア,API,アプリケーションから他のソフトウェア機能を呼び出すためのインタフェース。,APIを軸に、定義から条件へ進む。,API / 定義を確認 / 条件に当てはめる / 正答 エ
8,4,ハードウェア,平均CPIとMIPS,命令種別ごとのCPIを出現率で重み付けし、クロック周波数から性能を求める。,平均CPIとMIPSを軸に、定義から条件へ進む。,平均CPIとMIPS / 定義を確認 / 条件に当てはめる / 正答 イ
9,4,ハードウェア,キャッシュメモリ,キャッシュミス時は主記憶から必要なブロックを読み込む。,キャッシュメモリを軸に、定義から条件へ進む。,キャッシュメモリ / 定義を確認 / 条件に当てはめる / 正答 エ
10,5,ハードウェア,画面メモリ量,画素数と1画素当たりビット数から必要なメモリ量を求める。,画面メモリ量を軸に、定義から条件へ進む。,画面メモリ量 / 定義を確認 / 条件に当てはめる / 正答 ウ
11,5,システム構成,フォールトトレラント,一部故障時にも必要な機能を継続する設計思想。,フォールトトレラントを軸に、定義から条件へ進む。,フォールトトレラント / 定義を確認 / 条件に当てはめる / 正答 ア
12,5,システム構成,稼働率,直列構成は稼働率の積、並列構成は停止率から考える。,稼働率を軸に、定義から条件へ進む。,稼働率 / 定義を確認 / 条件に当てはめる / 正答 エ
13,6,システム構成,ページング,仮想記憶を固定長のページ単位で管理する方式。,ページングを軸に、定義から条件へ進む。,ページング / 定義を確認 / 条件に当てはめる / 正答 エ
14,6,プログラム言語,インタプリタとコンパイラ,コンパイル方式は翻訳時間を含めても、行数が多いと実行時間で有利になりやすい。,インタプリタとコンパイラを軸に、定義から条件へ進む。,インタプリタとコンパイラ / 定義を確認 / 条件に当てはめる / 正答 エ
15,6,ソフトウェア,OSS,ライセンス条件の下でソースコードの利用、改変、再配布が認められるソフトウェア。,OSSを軸に、定義から条件へ進む。,OSS / 定義を確認 / 条件に当てはめる / 正答 イ
16,7,基礎理論,偶数パリティ,1の個数が偶数になるよう検査ビットを付ける。,偶数パリティを軸に、定義から条件へ進む。,偶数パリティ / 定義を確認 / 条件に当てはめる / 正答 エ
17,7,マルチメディア,テクスチャマッピング,3D物体の表面に画像を貼って質感を表現する技法。,テクスチャマッピングを軸に、定義から条件へ進む。,テクスチャマッピング / 定義を確認 / 条件に当てはめる / 正答 ア
18,7,データベース,データウェアハウス,業務データを蓄積し、分析や意思決定に利用する基盤。,データウェアハウスを軸に、定義から条件へ進む。,データウェアハウス / 定義を確認 / 条件に当てはめる / 正答 エ
19,8,データベース,第3正規形,非キー属性が主キー以外に従属しないよう表を分割する。,第3正規形を軸に、定義から条件へ進む。,第3正規形 / 定義を確認 / 条件に当てはめる / 正答 ウ
20,8,データベース,NOT EXISTS,条件を満たす行が存在しないことを判定するSQL述語。,NOT EXISTSを軸に、定義から条件へ進む。,NOT EXISTS / 定義を確認 / 条件に当てはめる / 正答 ア
21,8,データベース,JDBC,Javaからデータベースへ接続するための標準API。,JDBCを軸に、定義から条件へ進む。,JDBC / 定義を確認 / 条件に当てはめる / 正答 エ
22,9,データベース,共有ロックと排他ロック,参照同士は両立し、更新を伴う排他ロックは他ロックと両立しない。,共有ロックと排他ロックを軸に、定義から条件へ進む。,共有ロックと排他ロック / 定義を確認 / 条件に当てはめる / 正答 エ
23,9,ネットワーク,実効伝送速度,回線速度に伝送効率を掛けて、実際に利用できる速度を求める。,実効伝送速度を軸に、定義から条件へ進む。,実効伝送速度 / 定義を確認 / 条件に当てはめる / 正答 エ
24,9,ネットワーク,TCP/IP階層,IPはインターネット層、TCP/UDPはトランスポート層に対応する。,TCP/IP階層を軸に、定義から条件へ進む。,TCP/IP階層 / 定義を確認 / 条件に当てはめる / 正答 ア
25,10,ネットワーク,サブネットマスク,ネットワーク部とホスト部を分けるビット列。,サブネットマスクを軸に、定義から条件へ進む。,サブネットマスク / 定義を確認 / 条件に当てはめる / 正答 エ
26,10,ネットワーク,CGI,Webサーバが外部プログラムを起動して動的に応答を返す仕組み。,CGIを軸に、定義から条件へ進む。,CGI / 定義を確認 / 条件に当てはめる / 正答 エ
27,10,情報セキュリティ,サイバーキルチェーン,攻撃活動を段階化し、防御ポイントを見つける考え方。,サイバーキルチェーンを軸に、定義から条件へ進む。,サイバーキルチェーン / 定義を確認 / 条件に当てはめる / 正答 エ
28,11,情報セキュリティ,エンベロープ暗号化,データ鍵をマスター鍵で暗号化して管理する方式。,エンベロープ暗号化を軸に、定義から条件へ進む。,エンベロープ暗号化 / 定義を確認 / 条件に当てはめる / 正答 エ
29,11,情報セキュリティ,リスクベース認証,アクセスの状況や危険度に応じて追加認証を要求する。,リスクベース認証を軸に、定義から条件へ進む。,リスクベース認証 / 定義を確認 / 条件に当てはめる / 正答 イ
30,11,情報セキュリティ,セキュリティガバナンス,組織として情報セキュリティを統制し評価する仕組み。,セキュリティガバナンスを軸に、定義から条件へ進む。,セキュリティガバナンス / 定義を確認 / 条件に当てはめる / 正答 イ
31,12,情報セキュリティ,NTP,UDPの123番ポートを用いる時刻同期プロトコル。,NTPを軸に、定義から条件へ進む。,NTP / 定義を確認 / 条件に当てはめる / 正答 ウ
32,12,情報セキュリティ,ステガノグラフィ,画像などに情報の存在自体を隠す技術。,ステガノグラフィを軸に、定義から条件へ進む。,ステガノグラフィ / 定義を確認 / 条件に当てはめる / 正答 エ
33,12,情報セキュリティ,WPA2-PSK,事前共有鍵を使う無線LANのセキュリティ方式。,WPA2-PSKを軸に、定義から条件へ進む。,WPA2-PSK / 定義を確認 / 条件に当てはめる / 正答 エ
34,13,開発技術,アクティビティ図,処理の流れ、分岐、合流、並行処理を表すUML図。,アクティビティ図を軸に、定義から条件へ進む。,アクティビティ図 / 定義を確認 / 条件に当てはめる / 正答 エ
35,13,開発技術,インスタンス,クラスを基に生成される具体的なオブジェクト。,インスタンスを軸に、定義から条件へ進む。,インスタンス / 定義を確認 / 条件に当てはめる / 正答 ア
36,13,開発技術,デザインレビュー,設計段階で誤りを早期に発見し、手戻りを減らす活動。,デザインレビューを軸に、定義から条件へ進む。,デザインレビュー / 定義を確認 / 条件に当てはめる / 正答 ウ
37,14,開発技術,静的解析ツール,プログラムを実行せずにソースコードを検査する。,静的解析ツールを軸に、定義から条件へ進む。,静的解析ツール / 定義を確認 / 条件に当てはめる / 正答 エ
38,14,マネジメント,期待値,確率と影響額を掛け合わせて平均的な損失や利益を見積もる。,期待値を軸に、定義から条件へ進む。,期待値 / 定義を確認 / 条件に当てはめる / 正答 エ
39,14,マネジメント,スクラムマスタ,スクラムの理解と実践を支援し、障害除去を助ける役割。,スクラムマスタを軸に、定義から条件へ進む。,スクラムマスタ / 定義を確認 / 条件に当てはめる / 正答 イ
40,15,開発技術,リファクタリング,外部仕様を変えずに内部構造を改善する。,リファクタリングを軸に、定義から条件へ進む。,リファクタリング / 定義を確認 / 条件に当てはめる / 正答 エ
41,15,マネジメント,品質評価グラフ,テスト消化件数と累積バグ件数の関係から品質状況を見る。,品質評価グラフを軸に、定義から条件へ進む。,品質評価グラフ / 定義を確認 / 条件に当てはめる / 正答 エ
42,15,マネジメント,EVM,PV、EV、ACを用いて進捗とコストを管理する。,EVMを軸に、定義から条件へ進む。,EVM / 定義を確認 / 条件に当てはめる / 正答 ウ
43,16,システム運用,コールドスタート,障害後に初期状態からシステムを起動し直す。,コールドスタートを軸に、定義から条件へ進む。,コールドスタート / 定義を確認 / 条件に当てはめる / 正答 ウ
44,16,システム運用,SPD,雷サージなどの過電圧から機器を守る装置。,SPDを軸に、定義から条件へ進む。,SPD / 定義を確認 / 条件に当てはめる / 正答 ウ
45,16,情報セキュリティ,情報セキュリティ監査,管理基準などに照らし、対策状況を客観的に評価する。,情報セキュリティ監査を軸に、定義から条件へ進む。,情報セキュリティ監査 / 定義を確認 / 条件に当てはめる / 正答 ア
46,17,ストラテジ,To-Beモデル,将来のあるべき業務やシステムの姿。,To-Beモデルを軸に、定義から条件へ進む。,To-Beモデル / 定義を確認 / 条件に当てはめる / 正答 ウ
47,17,ストラテジ,スマートグリッド,電力網に通信と制御を組み込み、需給を最適化する。,スマートグリッドを軸に、定義から条件へ進む。,スマートグリッド / 定義を確認 / 条件に当てはめる / 正答 イ
48,17,システム企画,要件定義,利害関係者のニーズ、制約、要求を整理する工程。,要件定義を軸に、定義から条件へ進む。,要件定義 / 定義を確認 / 条件に当てはめる / 正答 イ
49,18,ストラテジ,M&A,合併や買収によって他社の経営資源を取得する。,M&Aを軸に、定義から条件へ進む。,M&A / 定義を確認 / 条件に当てはめる / 正答 ウ
50,18,ストラテジ,プロダクトライフサイクル,導入期、成長期、成熟期、衰退期で市場を捉える。,プロダクトライフサイクルを軸に、定義から条件へ進む。,プロダクトライフサイクル / 定義を確認 / 条件に当てはめる / 正答 エ
51,18,ストラテジ,BSC,財務、顧客、内部プロセス、学習と成長の視点で戦略を管理する。,BSCを軸に、定義から条件へ進む。,BSC / 定義を確認 / 条件に当てはめる / 正答 ウ
52,19,ストラテジ,技術のSカーブ,技術性能の伸びが導入、成長、成熟をたどる曲線。,技術のSカーブを軸に、定義から条件へ進む。,技術のSカーブ / 定義を確認 / 条件に当てはめる / 正答 エ
53,19,ストラテジ,HEMS,家庭内のエネルギーを見える化し制御するシステム。,HEMSを軸に、定義から条件へ進む。,HEMS / 定義を確認 / 条件に当てはめる / 正答 エ
54,19,開発技術,コンカレントエンジニアリング,設計や生産準備を並行して進める開発手法。,コンカレントエンジニアリングを軸に、定義から条件へ進む。,コンカレントエンジニアリング / 定義を確認 / 条件に当てはめる / 正答 ウ
55,20,ストラテジ,クラウドソーシング,インターネットで不特定多数に仕事を委託する。,クラウドソーシングを軸に、定義から条件へ進む。,クラウドソーシング / 定義を確認 / 条件に当てはめる / 正答 エ
56,20,ストラテジ,マトリックス組織,職能軸と事業軸の両方に所属する組織形態。,マトリックス組織を軸に、定義から条件へ進む。,マトリックス組織 / 定義を確認 / 条件に当てはめる / 正答 イ
57,20,ストラテジ,定量発注方式,在庫が発注点に達したら一定量を発注する方式。,定量発注方式を軸に、定義から条件へ進む。,定量発注方式 / 定義を確認 / 条件に当てはめる / 正答 ア
58,21,品質管理,パレート図,件数を多い順に並べ、累積比率で重点項目を見つける図。,パレート図を軸に、定義から条件へ進む。,パレート図 / 定義を確認 / 条件に当てはめる / 正答 ウ
59,21,会計,期待利益,販売量、単価、変動費、固定費から利益を求める。,期待利益を軸に、定義から条件へ進む。,期待利益 / 定義を確認 / 条件に当てはめる / 正答 イ
60,21,法務,労働者派遣契約,派遣元事業主と派遣先事業主との間で結ばれる契約。,労働者派遣契約を軸に、定義から条件へ進む。,労働者派遣契約 / 定義を確認 / 条件に当てはめる / 正答 ア
